512		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,255,0,255
255,255,0,255
0,0,0,255
0,0,0,255
255,0,0,255
222,222,255,255
0,0,0,255
0,0,0,255
255,151,255,255
255,0,0,255
0,104,255,255
0,0,0,255
255,151,255,255
222,222,255,255
0,104,255,255
0,0,0,255
255,184,0,255
222,222,255,255
255,151,255,255
0,0,0,255
255,151,255,255
222,222,255,255
184,71,255,255
0,0,0,255
255,184,255,255
222,222,255,255
255,184,174,255
0,0,0,255
255,184,255,255
222,222,255,255
0,255,174,255
0,0,0,255
255,255,0,255
255,184,0,255
255,184,255,255
0,0,0,255
255,255,0,255
255,184,0,255
255,0,0,255
0,0,0,255
222,222,255,255
222,222,255,255
222,222,255,255
0,0,0,255
255,0,0,255
222,222,255,255
222,151,81,255
0,0,0,255
255,255,0,255
255,184,0,255
222,151,81,255
0,0,0,255
222,151,81,255
184,104,81,255
222,222,255,255
0,0,0,255
184,104,81,255
255,184,174,255
0,255,0,255
0,0,0,255
222,222,255,255
255,184,0,255
184,104,81,255
0,0,0,255
255,255,0,255
184,104,81,255
0,255,0,255
0,0,0,255
255,0,0,255
255,151,255,255
0,255,0,255
0,0,0,255
222,222,255,255
255,184,174,255
255,0,0,255
0,0,0,255
255,184,255,255
255,151,255,255
0,255,0,255
0,0,0,255
0,255,0,255
222,222,255,255
33,184,0,255
0,0,0,255
222,222,255,255
255,184,255,255
255,0,0,255
0,0,0,255
255,184,0,255
184,104,81,255
222,222,255,255
0,0,0,255
255,255,0,255
255,184,0,255
222,222,255,255
0,0,0,255
0,255,0,255
222,222,255,255
33,184,0,255
0,0,0,255
255,0,0,255
255,255,0,255
0,104,255,255
0,0,0,255
222,222,255,255
255,151,255,255
255,0,0,255
0,0,0,255
0,0,0,255
255,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,184,255,255
0,0,0,255
0,0,0,255
0,255,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,255,0,255
255,255,0,255
255,255,0,255
0,0,0,255
222,222,255,255
222,222,255,255
222,222,255,255
0,0,0,255
222,222,255,255
255,184,255,255
0,255,255,255
0,0,0,255
255,0,0,255
222,222,255,255
33,33,255,255
0,0,0,255
255,184,255,255
222,222,255,255
33,33,255,255
0,0,0,255
0,255,255,255
222,222,255,255
33,33,255,255
0,0,0,255
255,184,0,255
222,222,255,255
33,33,255,255
0,0,0,255
33,33,255,255
255,184,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
0,0,0,255
0,0,0,255
222,222,255,255
33,33,255,255
0,0,0,255
255,184,174,255
222,222,255,255
222,222,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
151,255,0,255
0,0,0,255
0,0,0,255
0,0,0,255
151,255,0,255
151,255,0,255
0,0,0,255
0,0,0,255
151,255,0,255
151,255,0,255
151,255,0,255
0,0,0,255
255,0,0,255
222,222,255,255
222,151,81,255
0,0,0,255
255,255,0,255
255,184,0,255
222,151,81,255
0,0,0,255
222,151,81,255
151,71,81,255
222,222,255,255
0,0,0,255
184,104,81,255
255,184,174,255
0,255,0,255
0,0,0,255
222,222,255,255
255,184,0,255
184,104,81,255
0,0,0,255
255,255,0,255
184,104,81,255
0,255,0,255
0,0,0,255
255,0,0,255
255,151,255,255
151,255,0,255
0,0,0,255
222,222,255,255
255,184,174,255
255,0,0,255
0,0,0,255
255,184,255,255
255,151,255,255
0,255,0,255
0,0,0,255
0,255,0,255
33,184,0,255
222,222,255,255
0,0,0,255
222,222,255,255
255,184,255,255
255,0,0,255
0,0,0,255
255,184,0,255
184,104,81,255
222,222,255,255
0,0,0,255
255,255,0,255
222,222,255,255
255,184,0,255
0,0,0,255
0,255,0,255
222,222,255,255
33,184,0,255
0,0,0,255
255,0,0,255
255,255,0,255
33,33,255,255
0,0,0,255
222,222,255,255
255,151,255,255
255,0,0,255
0,0,0,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
0,0,0,255
222,222,255,255
222,222,255,255
222,222,255,255
0,0,0,255
222,222,255,255
222,222,255,255
222,222,255,255
0,0,0,255
0,255,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
0,0,0,255
255,255,0,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
0,0,0,255
255,255,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,255,0,255
255,255,0,255
0,0,0,255
0,0,0,255
255,255,0,255
255,255,0,255
255,255,0,255
0,0,0,255
255,255,0,255
255,255,0,255
0,0,0,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
222,222,255,255
0,0,0,255
222,222,255,255
255,184,255,255
222,222,255,255
0,0,0,255
222,222,255,255
0,255,255,255
222,222,255,255
0,0,0,255
222,222,255,255
255,184,0,255
222,222,255,255
0,0,0,255
222,222,255,255
151,255,0,255
222,222,255,255
